Row	Gate	Weights	Threshold	Input	Output
1	NOT	[-1]	-0.5	[0] / [1]	1 / 0
2	NOT	[-2]	-1.0	[0] / [1]	1 / 0
3	NOT	[-1]	-0.1	[0] / [1]	1 / 0
4	AND	[1, 1]	1.5	[0,0], [0,1], [1,0], [1,1]	0, 0, 0, 1
5	AND	[1, 1]	2.0	[0,0], [0,1], [1,0], [1,1]	0, 0, 0, 1
6	AND	[0.5, 0.5]	0.8	[0,0], [0,1], [1,0], [1,1]	0, 0, 0, 1
7	OR	[1, 1]	0.5	[0,0], [0,1], [1,0], [1,1]	0, 1, 1, 1
8	OR	[1, 1]	0.9	[0,0], [0,1], [1,0], [1,1]	0, 1, 1, 1
9	OR	[2, 2]	1.5	[0,0], [0,1], [1,0], [1,1]	0, 1, 1, 1
10	OR	[0.5, 0.5]	0.2	[0,0], [0,1], [1,0], [1,1]	0, 1, 1, 1
